year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1980,Supporting Actress,Melvin and Howard,Mary Steenburgen,0.0,1.0,0.0,1.0,95,4309490.0,6.9,61.0,94.0,1,1,0,0,0,0,0,1,0
1980,Supporting Actress,Private Benjamin,Eileen Brennan,0.0,0.0,0.0,0.0,109,69847348.0,6.1,60.0,88.0,1,1,0,0,0,0,0,0,1
1980,Supporting Actress,Raging Bull,Cathy Moriarty,0.0,0.0,0.0,0.0,129,23400000.0,8.2,93.0,97.0,1,1,0,0,0,0,0,0,1
1981,Supporting Actress,Reds,Maureen Stapleton,0.0,0.0,0.0,1.0,195,40400000.0,7.5,82.0,94.0,1,0,1,0,0,0,0,0,1
1981,Supporting Actress,Absence of Malice,Melinda Dillon,0.0,0.0,0.0,0.0,116,40716963.0,6.9,61.0,86.0,1,0,1,0,0,0,0,0,1
1981,Supporting Actress,On Golden Pond,Jane Fonda,0.0,0.0,0.0,0.0,109,119300000.0,7.7,87.0,92.0,1,0,1,0,0,1,0,0,0
1981,Supporting Actress,Only When I Laugh,Joan Hackett,0.0,1.0,0.0,0.0,120,25524778.0,6.5,40.0,50.0,1,1,0,0,0,0,0,1,0
1981,Supporting Actress,Ragtime,Elizabeth McGovern,0.0,0.0,0.0,0.0,155,11099118.0,7.3,77.0,90.0,1,0,1,0,0,0,0,0,1
1982,Supporting Actress,Tootsie,Jessica Lange,0.0,1.0,0.0,1.0,116,177200000.0,7.4,81.0,89.0,1,0,1,0,0,0,0,0,1
1982,Supporting Actress,The World According to Garp,Glenn Close,0.0,0.0,0.0,0.0,136,29712172.0,7.2,79.0,79.0,1,1,0,0,0,0,0,1,0
1982,Supporting Actress,Tootsie,Teri Garr,0.0,0.0,0.0,0.0,116,177200000.0,7.4,81.0,89.0,1,0,1,0,0,0,0,0,1
1982,Supporting Actress,Frances,Kim Stanley,0.0,0.0,0.0,0.0,140,5000000.0,7.4,77.0,68.0,1,1,0,0,0,1,0,0,0
1982,Supporting Actress,Victor Victoria,Lesley Ann Warren,0.0,0.0,0.0,0.0,132,28215453.0,7.6,86.0,96.0,0,0,1,0,0,1,0,0,0
1983,Supporting Actress,Silkwood,Cher,0.0,1.0,0.0,0.0,131,35615609.0,7.2,78.0,75.0,1,1,0,0,0,1,0,0,0
1983,Supporting Actress,The Big Chill,Glenn Close,0.0,0.0,0.0,0.0,105,56399659.0,7.2,77.0,68.0,1,1,0,0,0,0,0,1,0
1983,Supporting Actress,Yentl,Amy Irving,0.0,0.0,0.0,0.0,131,40218899.0,6.6,75.0,73.0,1,0,1,0,0,1,0,0,0
1984,Supporting Actress,A Passage to India,Peggy Ashcroft,0.0,1.0,0.0,1.0,163,27200000.0,7.4,78.0,85.0,0,0,1,0,0,1,0,0,0
1984,Supporting Actress,The Natural,Glenn Close,0.0,0.0,0.0,0.0,137,47951979.0,7.5,88.0,81.0,1,0,1,0,0,0,1,0,0
1984,Supporting Actress,Places in the Heart,Lindsay Crouse,0.0,0.0,0.0,0.0,102,34901614.0,7.3,82.0,96.0,1,0,1,0,0,0,0,0,1
1984,Supporting Actress,Swing Shift,Christine Lahti,0.0,0.0,0.0,0.0,100,6650206.0,5.9,40.0,92.0,1,0,1,0,0,0,1,0,0
1984,Supporting Actress,The Pope of Greenwich Village,Geraldine Page,0.0,0.0,0.0,0.0,121,6800000.0,6.7,75.0,90.0,0,1,0,0,0,0,1,0,0
1985,Supporting Actress,Prizzi's Honor,Anjelica Huston,0.0,0.0,0.0,1.0,130,26657534.0,6.8,62.0,88.0,1,1,0,0,0,0,1,0,0
1985,Supporting Actress,The Color Purple,Margaret Avery,0.0,0.0,0.0,0.0,153,142000000.0,7.8,94.0,88.0,1,0,0,1,0,1,0,0,0
1985,Supporting Actress,Twice in a Lifetime,Amy Madigan,0.0,0.0,0.0,0.0,111,8402424.0,6.5,61.0,83.0,0,1,0,0,0,0,0,0,1
1985,Supporting Actress,Agnes of God,Meg Tilly,0.0,1.0,0.0,0.0,98,25600000.0,6.6,55.0,46.0,1,0,0,1,0,0,0,1,0
1985,Supporting Actress,The Color Purple,Oprah Winfrey,0.0,0.0,0.0,0.0,153,142000000.0,7.8,94.0,88.0,1,0,0,1,0,1,0,0,0
1986,Supporting Actress,Hannah and Her Sisters,Dianne Wiest,0.0,0.0,0.0,1.0,106,40100000.0,8.0,90.0,93.0,1,0,0,1,0,1,0,0,0
1986,Supporting Actress,Crimes of the Heart,Tess Harper,0.0,0.0,0.0,0.0,105,22905522.0,6.4,66.0,81.0,1,0,0,1,0,1,0,0,0
1986,Supporting Actress,Children of a Lesser God,Piper Laurie,0.0,0.0,0.0,0.0,119,31853080.0,7.2,78.0,81.0,1,1,0,0,0,0,0,0,1
1986,Supporting Actress,The Color of Money,Mary Elizabeth Mastrantonio,0.0,0.0,0.0,0.0,120,52300000.0,7.0,73.0,89.0,1,1,0,0,0,0,0,0,1
1986,Supporting Actress,A Room with a View,Maggie Smith,0.0,1.0,0.0,0.0,117,21000000.0,7.4,86.0,100.0,0,0,0,1,0,0,1,0,0
1987,Supporting Actress,Moonstruck,Olympia Dukakis,0.0,1.0,0.0,1.0,102,91640528.0,7.1,80.0,92.0,1,0,1,0,0,1,0,0,0
1987,Supporting Actress,Fatal Attraction,Anne Archer,0.0,0.0,0.0,0.0,119,320100000.0,6.9,72.0,78.0,1,1,0,0,0,0,0,1,0
1987,Supporting Actress,Throw Momma from the Train,Anne Ramsey,0.0,0.0,0.0,0.0,88,57915972.0,6.2,54.0,61.0,1,0,0,1,0,0,0,0,1
1988,Supporting Actress,The Accidental Tourist,Geena Davis,0.0,0.0,0.0,1.0,121,32632093.0,6.8,60.0,79.0,1,0,1,0,0,1,0,0,0
1988,Supporting Actress,Working Girl,Joan Cusack,0.0,0.0,0.0,0.0,114,102953112.0,6.7,67.0,84.0,1,1,0,0,0,0,0,0,1
1988,Supporting Actress,Mississippi Burning,Frances McDormand,0.0,0.0,0.0,0.0,128,34600000.0,7.8,90.0,89.0,1,1,0,0,0,1,0,0,0
1988,Supporting Actress,Dangerous Liaisons,Michelle Pfeiffer,0.0,0.0,0.0,0.0,119,34700000.0,7.7,83.0,93.0,1,1,0,0,0,1,0,0,0
1988,Supporting Actress,Working Girl,Sigourney Weaver,0.0,1.0,0.0,0.0,114,102953112.0,6.7,67.0,84.0,1,1,0,0,0,0,0,0,1
1989,Supporting Actress,My Left Foot,Brenda Fricker,0.0,0.0,0.0,1.0,103,14700000.0,7.9,92.0,97.0,0,1,0,0,0,1,0,0,0
1989,Supporting Actress,Steel Magnolias,Julia Roberts,0.0,1.0,0.0,0.0,117,95900000.0,7.2,89.0,69.0,1,0,1,0,0,0,0,0,1
1989,Supporting Actress,Parenthood,Dianne Wiest,0.0,0.0,0.0,0.0,124,126000000.0,7.0,75.0,92.0,1,0,0,1,0,0,0,1,0
1990,Supporting Actress,Ghost,Whoopi Goldberg,1.0,1.0,0.0,1.0,127,505700000.0,7.0,80.0,74.0,1,0,0,1,0,0,0,1,0
1990,Supporting Actress,The Grifters,Annette Bening,0.0,0.0,0.0,0.0,110,13446769.0,7.0,70.0,90.0,1,1,0,0,0,1,0,0,0
1990,Supporting Actress,Goodfellas,Lorraine Bracco,0.0,0.0,0.0,0.0,145,46800000.0,8.7,97.0,97.0,1,1,0,0,0,0,0,1,0
1990,Supporting Actress,Wild at Heart,Diane Ladd,0.0,0.0,0.0,0.0,124,14600000.0,7.2,81.0,65.0,1,1,0,0,0,0,0,1,0
1990,Supporting Actress,Dances with Wolves,Mary McDonnell,0.0,0.0,0.0,0.0,181,424200000.0,8.0,87.0,82.0,1,0,0,1,0,0,0,0,1
1991,Supporting Actress,The Fisher King,Mercedes Ruehl,0.0,1.0,0.0,1.0,137,41900000.0,7.6,86.0,82.0,1,1,0,0,0,0,0,1,0
1991,Supporting Actress,Rambling Rose,Diane Ladd,0.0,0.0,0.0,0.0,112,6300000.0,6.7,52.0,100.0,1,1,0,0,0,0,0,1,0
1991,Supporting Actress,Cape Fear,Juliette Lewis,0.0,0.0,0.0,0.0,128,182300000.0,7.3,77.0,76.0,1,1,0,0,0,0,0,0,1
1991,Supporting Actress,The Prince of Tides,Kate Nelligan,0.0,0.0,0.0,0.0,132,110000000.0,6.7,70.0,73.0,1,1,0,0,0,0,0,0,1
1991,Supporting Actress,Fried Green Tomatoes,Jessica Tandy,0.0,0.0,0.0,0.0,136,119400000.0,7.7,91.0,73.0,1,0,0,1,0,1,0,0,0
1992,Supporting Actress,My Cousin Vinny,Marisa Tomei,0.0,0.0,0.0,1.0,119,64100000.0,7.5,87.0,85.0,1,1,0,0,0,1,0,0,0
1992,Supporting Actress,Husbands and Wives,Judy Davis,0.0,0.0,0.0,0.0,103,10555619.0,7.6,87.0,97.0,1,1,0,0,0,0,0,1,0
1992,Supporting Actress,Enchanted April,Joan Plowright,0.0,1.0,0.0,0.0,95,13200170.0,7.4,83.0,82.0,0,0,1,0,0,0,1,0,0
1992,Supporting Actress,Howards End,Vanessa Redgrave,0.0,0.0,0.0,0.0,140,26100000.0,7.5,82.0,92.0,0,0,1,0,0,1,0,0,0
1992,Supporting Actress,Damage,Miranda Richardson,1.0,0.0,0.0,0.0,111,7532911.0,6.9,73.0,80.0,0,1,0,0,0,1,0,0,0
1993,Supporting Actress,The Piano,Anna Paquin,0.0,0.0,0.0,1.0,117,140000000.0,7.6,86.0,90.0,0,1,0,0,0,1,0,0,0
1993,Supporting Actress,The Firm,Holly Hunter,0.0,0.0,0.0,0.0,154,270248367.0,6.8,64.0,75.0,1,1,0,0,0,0,1,0,0
1993,Supporting Actress,Fearless,Rosie Perez,0.0,0.0,0.0,0.0,122,7000000.0,7.1,79.0,86.0,1,1,0,0,0,0,0,0,1
1993,Supporting Actress,The Age of Innocence,Winona Ryder,0.0,1.0,0.0,0.0,139,32300000.0,7.2,76.0,80.0,1,0,1,0,0,0,0,0,1
1993,Supporting Actress,In the Name of the Father,Emma Thompson,0.0,0.0,0.0,0.0,133,65800000.0,8.1,95.0,94.0,0,1,0,0,0,1,0,0,0
1994,Supporting Actress,Bullets over Broadway,Dianne Wiest,0.0,0.0,1.0,1.0,98,13400000.0,7.5,83.0,96.0,1,1,0,0,0,1,0,0,0
1994,Supporting Actress,Tom and Viv,Rosemary Harris,0.0,0.0,0.0,0.0,115,538534.0,6.5,61.0,33.0,0,0,0,1,0,0,0,0,1
1994,Supporting Actress,The Madness of King George,Helen Mirren,0.0,0.0,0.0,0.0,110,15200000.0,7.2,80.0,93.0,0,0,0,1,0,0,0,0,1
1994,Supporting Actress,Pulp Fiction,Uma Thurman,0.0,0.0,0.0,0.0,154,213900000.0,8.9,96.0,94.0,1,1,0,0,0,0,0,0,1
1994,Supporting Actress,Bullets over Broadway,Jennifer Tilly,0.0,0.0,0.0,0.0,98,13400000.0,7.5,83.0,96.0,1,1,0,0,0,1,0,0,0
1995,Supporting Actress,Mighty Aphrodite,Mira Sorvino,0.0,1.0,0.0,1.0,95,26000000.0,7.1,73.0,77.0,1,1,0,0,0,0,0,0,1
1995,Supporting Actress,Nixon,Joan Allen,0.0,0.0,0.0,0.0,192,13700000.0,7.1,74.0,75.0,1,1,0,0,0,1,0,0,0
1995,Supporting Actress,Apollo 13,Kathleen Quinlan,0.0,0.0,0.0,0.0,140,355200000.0,7.6,87.0,95.0,1,0,1,0,0,0,1,0,0
1995,Supporting Actress,Georgia,Mare Winningham,0.0,0.0,0.0,0.0,115,1110104.0,6.5,66.0,80.0,1,1,0,0,0,0,0,0,1
1995,Supporting Actress,Sense and Sensibility,Kate Winslet,1.0,0.0,1.0,0.0,136,134993774.0,7.7,90.0,98.0,0,0,1,0,0,1,0,0,0
1996,Supporting Actress,The English Patient,Juliette Binoche,1.0,0.0,0.0,1.0,162,232000000.0,7.4,83.0,84.0,0,1,0,0,0,0,0,0,1
1996,Supporting Actress,The Crucible,Joan Allen,0.0,0.0,0.0,0.0,123,7343114.0,6.8,66.0,67.0,1,0,0,1,0,0,0,0,1
1996,Supporting Actress,The Mirror Has Two Faces,Lauren Bacall,0.0,1.0,1.0,0.0,126,91610201.0,6.5,72.0,53.0,1,0,0,1,0,0,0,0,1
1996,Supporting Actress,The Portrait of a Lady,Barbara Hershey,0.0,0.0,0.0,0.0,142,3700000.0,6.3,52.0,43.0,0,0,0,1,0,1,0,0,0
1996,Supporting Actress,Secrets and Lies,Marianne Jean-Baptiste,0.0,0.0,0.0,0.0,142,13417292.0,8.0,91.0,94.0,0,1,0,0,0,1,0,0,0
1997,Supporting Actress,L.A. Confidential,Kim Basinger,0.0,1.0,1.0,1.0,138,126200000.0,7.3,94.0,99.0,1,1,0,0,0,0,0,1,0
1997,Supporting Actress,In and Out,Joan Cusack,0.0,0.0,0.0,0.0,92,63856929.0,6.3,51.0,72.0,1,0,0,1,0,0,0,1,0
1997,Supporting Actress,Good Will Hunting,Minnie Driver,0.0,0.0,0.0,0.0,126,225900000.0,8.3,94.0,97.0,1,1,0,0,0,1,0,0,0
1997,Supporting Actress,Boogie Nights,Julianne Moore,0.0,0.0,0.0,0.0,155,43100000.0,7.9,89.0,92.0,1,1,0,0,0,0,0,0,1
1997,Supporting Actress,Titanic,Gloria Stuart,0.0,0.0,1.0,0.0,195,21870000.0,7.7,69.0,88.0,1,0,0,1,0,0,0,0,1
1998,Supporting Actress,Shakespeare in Love,Judi Dench,1.0,0.0,0.0,1.0,123,289300000.0,7.2,80.0,92.0,1,1,0,0,0,1,0,0,0
1998,Supporting Actress,Primary Colors,Kathy Bates,0.0,0.0,1.0,0.0,143,52100000.0,6.7,64.0,80.0,1,1,0,0,0,1,0,0,0
1998,Supporting Actress,Little Voice,Brenda Blethyn,0.0,0.0,0.0,0.0,96,4611784.0,7.0,74.0,79.0,0,1,0,0,0,0,0,0,1
1998,Supporting Actress,Hilary and Jackie,Rachel Griffiths,0.0,0.0,0.0,0.0,121,4912892.0,7.4,83.0,86.0,0,1,0,0,0,1,0,0,0
1998,Supporting Actress,Gods and Monsters,Lynn Redgrave,0.0,1.0,0.0,0.0,105,6500000.0,7.5,83.0,95.0,0,1,0,0,0,0,0,0,1
